smiles	valid_action_count	positive_delta_count	positive_action_fraction	best_delta_qed
O=C1COCc2c(Br)cccc2N1	1	0	0.0	-0.09332097602212985
O=C(NCCO)c1cccc(S(=O)(=O)N2CCOCC2)c1	3	3	1.0	0.04574269627354588
CC1(C)CCCOC1CN	1	0	0.0	-0.0857617160000208
O=[N+]([O-])c1ccc(Br)cc1F	1	0	0.0	-0.06879678847656417
CC1(C(O)CN)CC1	3	2	0.6666666666666666	0.10081361301737646
O=C(O)CC(F)(F)C(F)(F)Br	3	2	0.6666666666666666	0.0369151948697255
CCn1cc(CS(=O)(=O)CC(=O)O)cn1	3	2	0.6666666666666666	0.03997181068888456
CC1CCSC1C(=O)O	3	2	0.6666666666666666	0.08871953681181555
O=Cc1cc(O)cc(F)c1	2	1	0.5	0.042613198812961106
NCc1ccc(OCCCOc2ccc(Cl)c(Cl)c2)cc1	2	1	0.5	0.02184291397965854
NNc1ccccc1Cl	1	0	0.0	-0.021583541833561204
CC(C)(C)OC(=O)N1CC([C@@H]2C[C@H]2C(=O)O)C1	3	0	0.0	-0.0052268164572767395
CCC(C#N)(CC)C(=O)O	2	1	0.5	0.057846016617454254
NCCc1ccc(C(=O)O)cc1	1	1	1.0	0.014995478136044849
COC[C@@H](O)CN=[N+]=[N-]	2	0	0.0	-0.047614864873016804
C[C@@H]1C[C@H](C(=O)O)CCN1C	3	2	0.6666666666666666	0.0860197237923549
OB(O)c1cc2ccccc2cc1Br	1	0	0.0	-0.0996025927166534
NCCCn1ccc2ccccc21	1	0	0.0	-0.07713296395851532
NCCc1ccccc1O	3	2	0.6666666666666666	0.13956092918772334
Nc1ccc(O)c(-c2ccccc2)c1	2	2	1.0	0.23523237669074726
Cc1nc(O)ccc1[N+](=O)[O-]	2	0	0.0	-0.07266487280555645
CC1Cc2cc(CCN)ccc2O1	1	0	0.0	-0.09188211983540284
Cc1cc(O)n2ncnc2n1	2	1	0.5	0.03739006706466241
O=C(O)C12CC(C1)C2	1	0	0.0	-0.0535574673491353
NCCS(=O)(=O)O	2	2	1.0	0.07554225261731484
O=C(O)C(O)C1CCCNC1	5	5	1.0	0.1757511591356763
NCc1cc2cc(Br)ccc2o1	2	0	0.0	-0.09879475426626916
NCc1ccccc1CC(N)C(=O)O	4	2	0.5	0.09282399902574279
O=c1[nH]c2cccc(Br)c2[nH]1	1	0	0.0	-0.09149094393525858
COc1cc(I)ccc1C(F)(F)F	1	0	0.0	-0.024108356519446983
C=CCC1(O)CCC1	2	0	0.0	-0.08954953573797914
NCc1ccon1	1	0	0.0	-0.07170071093077518
COC(=O)c1c(O)cnc2ccccc12	2	1	0.5	0.028053612553223695
Cc1c(O)cccc1F	2	1	0.5	0.026110630184933536
NS(=O)(=O)CC(=O)O	3	3	1.0	0.10631718806832091
Clc1ccnc(-c2ccc(Br)cc2)n1	1	0	0.0	-0.05233365770279286
C#CCC1(O)COC1	2	0	0.0	-0.04569810810513841
NNc1ccccc1I	1	1	1.0	0.0011076104118949437
CC(C)(C(=O)[O-])c1ccccn1	1	1	1.0	0.03494585235325365
COC(=O)C[C@@H](N)c1cccc(I)c1	3	1	0.3333333333333333	0.06354548292246509
COCc1cc(CN)no1	1	0	0.0	-0.055144973888577975
CC(OCc1cccnc1)C(=O)O	3	2	0.6666666666666666	0.08391685079959044
Cc1cc(O)c(C=O)c(=O)[nH]1	2	2	1.0	0.15197275074298655
CC(CO)CC(=O)[O-]	6	5	0.8333333333333334	0.09407382848461998
O=C(O)C1CCc2nnnn2CC1	3	2	0.6666666666666666	0.08651939171627554
CC(C)(C)OC(=O)NC1(CCN)CC1	1	1	1.0	0.010590643463141758
CC(C)(CN)CCC#N	2	1	0.5	0.051555333413674354
Cc1cc(C)cc(OCCC(=O)O)c1	3	2	0.6666666666666666	0.058896089821541264
COc1cc(CCl)c(OC)cc1Br	1	0	0.0	-0.06052288274241879
Cn1cc(CC(N)C(=O)O)cn1	3	1	0.3333333333333333	0.04983242408355848
CC(C)COc1cccc(CN)c1	1	0	0.0	-0.061530945887853905
Fc1ccc(NC2CCC2)c(I)c1	1	0	0.0	-0.04578897730244813
O=C(O)C(F)(F)c1c[nH]c(=O)[nH]c1=O	1	1	1.0	0.09840942461215874
NCc1noc(-c2ccccc2F)n1	1	0	0.0	-0.09598962086813312
O=C(O)Cc1[nH]ccc1C(=O)O	3	3	1.0	0.09337154708937467
CC(C#N)c1ccc(Br)cc1	2	1	0.5	0.19310323291339415
Nc1ccc(CN2CCOCC2)c(Cl)c1	1	0	0.0	-0.03163071220730862
COc1ccc2c(c1)C(O)CCN2	2	2	1.0	0.07741425120620016
CC(C)(C)c1ccncc1CN	1	0	0.0	-0.10420082213936122
Cc1cnc(O)c(N)c1	2	2	1.0	0.09360290769710922
CN(C)C(=O)CN1CCC(CN)CC1	1	0	0.0	-0.04456547042521386
COc1cc(C=O)cc(Br)c1OCC(C)C	1	0	0.0	-0.04675065449290794
Nc1ncnc2c1ncn2CCCO	3	3	1.0	0.1337300913678129
O=C(O)CSCCCl	3	2	0.6666666666666666	0.2662079347395023
Oc1cnc2cc[nH]c2c1	2	2	1.0	0.1195932435948337
CCOc1cc(C(=O)O)cc(Cl)c1O	3	2	0.6666666666666666	0.1114646504810961
N#CCC(=O)NN1CCCCC1=O	1	1	1.0	0.021390057895737447
C=CCn1c(S)nc2ccc(Cl)cc2c1=O	1	0	0.0	-0.010112765234494225
Oc1cc(Br)c2ccccc2n1	2	0	0.0	-0.07348204643624634
CCn1nccc1CC(=O)O	3	2	0.6666666666666666	0.11250895446262454
O=C(O)Cc1cnn2ccccc12	3	2	0.6666666666666666	0.09193699973324587
NCc1cc(C(=O)O)sc1Cl	1	0	0.0	-0.014544368058121315
CC1(C(=O)O)CCN(C(=O)c2ccccc2)CC1	1	0	0.0	-0.09806402532532588
O=[N+]([O-])c1cc(-c2ccccc2)ccc1O	2	0	0.0	-0.0036942975513899468
CCC(C#N)Oc1cc(CN)ccc1OC	2	0	0.0	-0.009603522793890651
O=C1CC(C(=O)O)CS1	3	2	0.6666666666666666	0.09279403559517663
COc1c(F)ccc(F)c1CN	1	0	0.0	-0.09164056413972499
CC(C)C(C(=O)O)C(O)C(=O)O	5	5	1.0	0.17186814894934477
O=C(c1cc(Br)cc([N+](=O)[O-])c1)N1CCCC1	1	0	0.0	-0.0369048668005324
N#Cc1ccc(Br)c2ccncc12	1	0	0.0	-0.08016484102354349
Fc1cc(Br)cc2ccc(Cl)nc12	1	0	0.0	-0.035046631229146974
Fc1c(I)ccc2ccccc12	1	0	0.0	-0.04537387433403339
COc1cc(C=O)ccc1OCC(=O)c1ccccc1Cl	1	0	0.0	-0.0013498728416329042
O=C(O)CC12CCC(CC1)CC2	3	2	0.6666666666666666	0.07441106413274978
